frame.number$frame.time$frame.len$eth.src$eth.dst$ip.src$ip.dst$ip.proto$ip.len$tcp.len$tcp.srcport$tcp.dstport$_ws.col.Info
1$Mar  7, 2022 22:16:49.632638967 +0545$86$c0:ee:fb:92:da:2d$08:71:90:9b:cd:96$$$$$$$$Neighbor Solicitation for fe80::1 from c0:ee:fb:92:da:2d
2$Mar  7, 2022 22:16:49.632639115 +0545$86$c0:ee:fb:92:da:2d$08:71:90:9b:cd:96$$$$$$$$Neighbor Solicitation for fe80::1 from c0:ee:fb:92:da:2d
3$Mar  7, 2022 22:16:49.632639133 +0545$86$c0:ee:fb:92:da:2d$08:71:90:9b:cd:96$$$$$$$$Neighbor Solicitation for fe80::1 from c0:ee:fb:92:da:2d
4$Mar  7, 2022 22:16:49.834766149 +0545$151$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$142.250.76.42$192.168.1.20$6$137$85$443$56786$Application Data
5$Mar  7, 2022 22:16:49.834810863 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.76.42$6$52$0$56786$443$56786 → 443 [ACK] Seq=1 Ack=86 Win=501 Len=0 TSval=1086278185 TSecr=182026886
6$Mar  7, 2022 22:16:49.834766343 +0545$97$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$142.250.76.42$192.168.1.20$6$83$31$443$56786$Application Data
7$Mar  7, 2022 22:16:49.834825881 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.76.42$6$52$0$56786$443$56786 → 443 [ACK] Seq=1 Ack=117 Win=501 Len=0 TSval=1086278185 TSecr=182026887
8$Mar  7, 2022 22:16:49.834766367 +0545$105$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$142.250.76.42$192.168.1.20$6$91$39$443$56786$Application Data
9$Mar  7, 2022 22:16:49.834840816 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.76.42$6$52$0$56786$443$56786 → 443 [ACK] Seq=1 Ack=156 Win=501 Len=0 TSval=1086278185 TSecr=182026887
10$Mar  7, 2022 22:16:49.834969235 +0545$105$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.76.42$6$91$39$56786$443$Application Data
11$Mar  7, 2022 22:16:49.838046634 +0545$301$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.76.42$6$287$235$56788$443$Application Data
12$Mar  7, 2022 22:16:49.886252251 +0545$66$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$142.250.76.42$192.168.1.20$6$52$0$443$56786$443 → 56786 [ACK] Seq=156 Ack=40 Win=289 Len=0 TSval=182026981 TSecr=1086278185
13$Mar  7, 2022 22:16:49.909588829 +0545$66$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$142.250.76.42$192.168.1.20$6$52$0$443$56788$443 → 56788 [ACK] Seq=1 Ack=236 Win=278 Len=0 TSval=3368219902 TSecr=1086278188
14$Mar  7, 2022 22:16:50.142175380 +0545$135$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$142.250.76.42$192.168.1.20$6$121$69$443$56788$Application Data
15$Mar  7, 2022 22:16:50.142349702 +0545$97$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$142.250.76.42$192.168.1.20$6$83$31$443$56788$Application Data
16$Mar  7, 2022 22:16:50.142349791 +0545$105$c8:50:e9:d1:53:26$08:71:90:9b:cd:96$142.250.76.42$192.168.1.20$6$91$39$443$56788$Application Data
17$Mar  7, 2022 22:16:50.142490983 +0545$66$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.76.42$6$52$0$56788$443$56788 → 443 [ACK] Seq=236 Ack=140 Win=501 Len=0 TSval=1086278493 TSecr=3368220092
18$Mar  7, 2022 22:16:50.142533729 +0545$105$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.76.42$6$91$39$56788$443$Application Data
19$Mar  7, 2022 22:16:50.142843570 +0545$508$08:71:90:9b:cd:96$c8:50:e9:d1:53:26$192.168.1.20$142.250.76.42$6$494$442$56786$443$Application Data
